test_idx,ground_truth,software_float,fixed_point_chain,error_fp_minus_sw
0,0.02453290,0.04235554,0.03423816,-0.00811738
1,-0.89203042,-1.04060650,-1.03880322,0.00180328
2,-0.67799968,-0.75756079,-0.75699151,0.00056928
3,1.77677751,1.68319535,1.68674183,0.00354648
4,1.41310167,1.44212735,1.44547188,0.00334454
5,-0.60018420,-0.56063139,-0.55338734,0.00724405
6,-0.05138456,-0.11347157,-0.11503803,-0.00156646
7,1.74042559,1.86120701,1.84919596,-0.01201105
8,0.76590133,0.96548855,0.95737255,-0.00811601
9,-0.12934707,0.21872273,0.22260478,0.00388205
10,0.27783617,0.40826315,0.41088802,0.00262487
11,-2.07678795,-2.10937834,-2.10214996,0.00722837
12,1.40901387,1.26701868,1.26824510,0.00122643
13,1.29630446,1.25224626,1.25308394,0.00083768
14,-0.22234671,-0.23190486,-0.23187754,0.00002733
15,-2.46615958,-2.19955444,-2.19799805,0.00155640
16,0.10278725,0.63149726,0.63461030,0.00311303
17,0.82940924,0.71352786,0.71999228,0.00646442
18,0.59552282,0.54823959,0.55275810,0.00451851
19,-0.48105109,-0.71396059,-0.72816062,-0.01420003
20,0.06804034,-0.05263433,-0.05401841,-0.00138408
21,0.56398940,0.63748699,0.63639987,-0.00108713
22,-2.17942381,-2.27882981,-2.27737999,0.00144982
23,0.23491351,0.23234192,0.24100354,0.00866163
24,-0.05605721,-0.10146940,-0.09794599,0.00352341
25,0.11008638,-0.03922895,-0.04038525,-0.00115630
26,0.11242326,0.16275707,0.16266170,-0.00009537
27,0.67363125,0.90632343,0.90826893,0.00194550
28,-2.37272239,-2.12364745,-2.12230396,0.00134349
29,0.87904733,0.65034306,0.62371826,-0.02662480
30,1.95591545,1.66232991,1.65680683,-0.00552309
31,-0.34308484,-0.25756600,-0.25458783,0.00297818
32,-0.35753831,0.00214621,0.00207582,-0.00007039
33,-0.62339705,-0.57035851,-0.56756717,0.00279135
34,-0.77990460,-0.74956024,-0.74942303,0.00013721
35,1.25936878,1.06550980,1.05270135,-0.01280844
36,1.46887279,1.41144192,1.41243875,0.00099683
37,0.73042482,0.72040302,0.73005539,0.00965238
38,-0.31432384,-0.46517241,-0.46526045,-0.00008804
39,-2.12569666,-2.32507229,-2.32427669,0.00079560
40,-0.07868642,0.08101168,0.07912940,-0.00188228
41,1.54858518,1.54625380,1.54762459,0.00137079
42,0.21491189,0.04287332,0.04433209,0.00145876
43,-0.71566713,-0.52831405,-0.53186226,-0.00354820
44,0.28703442,0.17638862,0.18200552,0.00561690
45,1.32083166,1.40214014,1.40330791,0.00116777
46,0.80634117,0.90424454,0.90423810,-0.00000644
47,-1.13394558,-1.10222876,-1.09869564,0.00353312
48,-0.22949994,-0.17018467,-0.16668791,0.00349677
49,1.24111927,1.28446877,1.28989983,0.00543106
50,1.04037464,0.82880348,0.83168030,0.00287682
51,-1.38768649,-1.25952995,-1.25639653,0.00313342
52,0.94445330,0.62881458,0.63801539,0.00920081
53,0.35360882,0.73018920,0.73783934,0.00765014
54,0.16279097,0.16723108,0.17220449,0.00497341
55,-0.42060849,-0.60286140,-0.60516489,-0.00230348
56,-0.20906056,-0.18174253,-0.18305054,-0.00130801
57,0.57698148,0.71898592,0.72725654,0.00827062
58,-0.91714126,-0.73833787,-0.75046545,-0.01212758
59,-0.54879391,-0.61550224,-0.61192524,0.00357699
60,0.25768864,0.16751955,0.16527304,-0.00224651
61,1.47004008,1.58412719,1.58689833,0.00277114
62,0.96270281,0.91826046,0.91914642,0.00088596
