sample_id,sw_pred,rtl_out
0,0.042356,0.033203
1,-1.040606,-1.025391
2,-0.757561,-0.757812
3,1.683195,1.669922
4,1.442127,1.447266
5,-0.560631,-0.558594
6,-0.113472,-0.119141
7,1.861207,1.853516
8,0.965489,0.958984
9,0.218723,0.238281
10,0.408263,0.398438
11,-2.109378,-2.099609
12,1.267019,1.273438
13,1.252246,1.246094
14,-0.231905,-0.238281
15,-2.199554,-2.191406
16,0.631497,0.640625
17,0.713528,0.730469
18,0.548240,0.544922
19,-0.713961,-0.722656
20,-0.052634,-0.042969
21,0.637487,0.646484
22,-2.278830,-2.277344
23,0.232342,0.232422
24,-0.101469,-0.107422
25,-0.039229,-0.019531
26,0.162757,0.148438
27,0.906323,0.914062
28,-2.123647,-2.123047
29,0.650343,0.583984
30,1.662330,1.667969
31,-0.257566,-0.238281
32,0.002146,0.011719
33,-0.570359,-0.564453
34,-0.749560,-0.746094
35,1.065510,1.041016
36,1.411442,1.410156
37,0.720403,0.716797
38,-0.465172,-0.468750
39,-2.325072,-2.318359
40,0.081012,0.085938
41,1.546254,1.556641
42,0.042873,0.050781
43,-0.528314,-0.529297
44,0.176389,0.185547
45,1.402140,1.404297
46,0.904245,0.898438
47,-1.102229,-1.095703
48,-0.170185,-0.150391
49,1.284469,1.279297
50,0.828803,0.849609
51,-1.259530,-1.250000
52,0.628815,0.646484
53,0.730189,0.730469
54,0.167231,0.160156
55,-0.602861,-0.601562
56,-0.181743,-0.183594
57,0.718986,0.728516
58,-0.738338,-0.748047
59,-0.615502,-0.615234
60,0.167520,0.173828
61,1.584127,1.587891
62,0.918260,0.910156
63,1.602663,1.597656
64,-0.941572,-0.941406
65,0.224479,0.238281
66,0.423692,0.435547
67,-0.699269,-0.693359
68,-0.119531,-0.132812
69,0.639760,0.650391
70,0.580592,0.583984
71,0.970857,0.968750
72,0.577224,0.582031
73,-1.351370,-1.337891
74,0.744433,0.746094
75,0.847707,0.845703
76,1.127402,1.146484
77,1.193534,1.193359
78,1.290251,1.279297
79,1.746347,1.769531
80,0.007638,0.000000
81,-0.864793,-0.859375
82,-0.876443,-0.884766
83,-0.096467,-0.089844
84,-0.901164,-0.873047
85,-0.617874,-0.605469
86,-2.426759,-2.421875
87,0.792178,0.796875
88,-1.722849,-1.707031
89,-0.728520,-0.712891
90,-1.128612,-1.117188
91,-1.866620,-1.843750
92,-0.279623,-0.283203
93,1.304050,1.322266
94,-1.437535,-1.429688
95,-1.072500,-1.064453
96,-1.413308,-1.412109
97,-1.578553,-1.562500
98,1.039859,1.039062
99,0.032919,0.041016
100,0.723598,0.736328
101,-2.561536,-2.562500
102,1.438872,1.464844
103,-0.961567,-0.968750
104,0.268749,0.269531
105,0.599352,0.619141
